attr	type	dim	value	default	formatAs	typeW3C	EQN	loc	value.def
calcMode	LITERAL	1	\emph{'paced'}		1-C		FALSE	CalcModeAttribute	Specifies an even paced intermediate transitioning. This is the default for \emph{animateMotion}.
calcMode	LITERAL	1	\emph{'spline'}		1-C		FALSE	CalcModeAttribute	Specifies an intermediate transitioning based on a cubic Bezier spline with points defined using the \emph{keyTimes} and \emph{keySplines} attributes.
cap-height	NUMERIC	1	<numeric>		1		FALSE	FontFaceElementCapHeightAttribute	Specifies the height of uppercase \emph{glyphs} of the font using \emph{units per em}.
class	ULIST	M	<character>[[N]]				FALSE	ClassAttribute	Specifies one or more class names to be assigned to this element.
class	CHARACTER	M	<character>[N]				FALSE	ClassAttribute	Specifies one or more class names to be assigned to this element.
clipPathUnits	LITERAL	1	\emph{'userSpaceOnUse'}	T			FALSE	ClipPathElementClipPathUnitsAttribute	Specifies that the coordinate system for the contents of the \emph{'clipPath'} is given in terms of the specific user coordinate system that is in effect at the time of clipPath referrencing. (Default)
clipPathUnits	LITERAL	1	\emph{'objectBoundingBox'}				FALSE	ClipPathElementClipPathUnitsAttribute	Specifies that the coordinate system for the contents of the \emph{'clipPath'} is given in terms of the bounding box of target object(s) to be clipped.
contentScriptType	LITERAL	1	\emph{'content.type'}	application/ecmascript			FALSE	SVGElementContentScriptTypeAttribute	Specifies the default scripting language used in processing \emph{svg} events. Default is\emph{'application/ecmascript'}.
contentScriptType	CHARACTER	1	<content-type>	application/ecmascript			FALSE	ContentScriptTypeAttribute	Specifies the default scripting language of the event attributes value strings. The default is \emph{'application/ecmascript'}.
contentStyleType	CHARACTER	1	<content-type>	text/css			FALSE	SVGElementContentStyleTypeAttribute	"Specifies the default style sheet, Default is """"""""""""""""text/css"""""""""""""""""""""""""""""""" Has limited support. \strong{Deprecated}."
contentStyleType	CHARACTER	1	<content-type>	text/css			FALSE	ContentStyleTypeAttribute	Specifies a default style sheet language for the given document.
cx	COORDINATE	1	<coordinate>	0			TRUE	CircleElementCXAttribute	Specifies the x- coordinate, \eqn{c_x} of the center of the \strong{circle}. Default is 0.
cx	COORDINATE	1	<coordinate>	0			TRUE	EllipseElementCXAttribute	Specifies the x- coordinate, \eqn{c_x} of the center of the \strong{ellipse}. Default is 0.
cx	COORDINATE	1	<coordinate>	50.00%			FALSE	RadialGradientElementCXAttribute	Specifies the x-coordinate of the center of outermost circle of the radial gradient. (The outermost circle being the location of the final gradient stop.) Default is 0.50  .
cy	COORDINATE	1	<coordinate>	0			TRUE	CircleElementCYAttribute	Specifies the y- coordinate, \eqn{c_y} of the center of the \strong{circle}. Default is 0.
cy	COORDINATE	1	<coordinate>	0			TRUE	EllipseElementCYAttribute	Specifies the y- coordinate, \eqn{c_y} of the center of the\strong{ellipse}. Default is 0.
cy	COORDINATE	1	<coordinate>	100.00%			FALSE	RadialGradientElementCYAttribute	Specifies the y-coordinate of the center of outermost circle of the radial gradient. (The outermost circle being the location of the final gradient stop.) Default is 0.50 .
d	PATH-DATA_VECTOR	1	<path-data-vector>				FALSE	GlyphElementDAttribute	Specifies the outline of the glyph path as a vector, built from both \emph{path commands} (M, m, Z, z, L, l, H, h, V, v) and the points those commands are to operate on.
d	PATH-NAMED-LIST	1	<path-data-list>				FALSE	GlyphElementDAttribute	Specifies the outline of the glyph path as a named list, with names originating from the \emph{path commands}: M, m, Z, z, L, l, H, h, V, v.
d	PATH-NAMED-LIST	1	<path-data-list>				FALSE	DAttribute	Specifies the path-data used to create a \emph{path}.
descent	NUMERIC	1	<number>		1		FALSE	FontFaceElementDescentAttribute	Specifies an maximum unaccented font depth with respect to the font coordinate system.
diffuseConstant	NON-NEG-NUM	1	<numeric>	1			TRUE	feDiffuseLightingDiffuseConstantAttribute	Specifies a scaling factor for the resulting RGB components, It is the \eqn{kd} in \emph{Phong lighting model}. Default=1.
divisor	NON-ZERO-NUM	1	<numeric>				FALSE	feConvolveMatrixElementDivisorAttribute	Specifies a divisor to scale down the resulting image component values obtained by multiply by the \emph{kernelMatrix}.
dur	POS-NUM	1	<clock-value>	0	1-C		FALSE	DurAttribute	Specifies the length of the simple duration in presentation time. This value must be greater than 0. (The default unis is in seconds)
dur	LITERAL	1	\emph{'media'}		1-C		FALSE	DurAttribute	Specifies the simple duration as the intrinsic media duration.
dur	LITERAL	1	\emph{'indefinite'}		1-C		FALSE	DurAttribute	Specifies the simple duration as \emph{indefinite}, that is the animation is to continue indefinitely.
dx	NUMERIC	1	<number>	0	0		FALSE	feOffsetDxAttribute	Specifies to offset the input graphic by the amount dx along the x-axis, where dx is is given in the \emph{primitiveUnits} terms of the \strong{filter}. Default for dx is dx=0.
dx	LENGTH	V-L	<length>[N]				FALSE	TextElementDXAttribute	Specifies a sequence of x-shifts starting with the current text position for the characters within this \strong{text} element or any of its descendants.
dx	LENGTH	V-L	<length>[N]				FALSE	TSpanElementDXAttribute	Specifies a sequence of x-shifts starting with the current text position for the characters within this \strong{tspan} or any of its descendants.
dx	LENGTH	V-L	<length>[N]				FALSE	AltGlyphElementDXAttribute	Specifies the x-shifts values for the \strong{altGlyph} element. If rendering only unicode characters inside an \strong{altGlyph} element, then this specifies the absolute x-shift for the first n characters where n is the length of the dx-vector . If rendering alternate \emph{glyphs}, then dx[1] specifies a x-shift of the current text position, while the remainder, dx[-1], is ignored.
dx	NUMERIC	1	<numeric>				FALSE	GlyphRefElementDXAttribute	Specifies an x-shift for this glyph using the font's coordinate system for this glyph.
dy	NUMERIC	1	<numeric>	0	0		FALSE	feOffsetDyAttribute	Specifies to offset the input graphic by the amount dy along the y-axis, where dy is is given in the \emph{primitiveUnits} terms of the \emph{filter}. Default is dy=0.
dy	LENGTH	V-L	<length>[N]				FALSE	TextElementDYAttribute	Specifies a sequence of y-shifts starting with the current text position for the characters within this element or any of its descendants
dy	LENGTH	V-L	<length>[N]				FALSE	TSpanElementDYAttribute	Specifies a sequence of y-shifts starting with the current text position for the characters within this \strong{tspan} or any of its descendants
dy	LENGTH	V-L	<length>[N]				FALSE	AltGlyphElementDYAttribute	Specifies a sequence of  the y-shifts values for the \emph{altGlyph} element. If rendering only unicode characters inside an \strong{altGlyph} element, then this specifies the absolute y-shift for the first n characters where n is the length of the dy-vector . If rendering alternate \emph{glyphs}, then dy[1] specifies a y-shift of the current text position, while the remainder, dy[-1], is ignored.
dy	NUMERIC	1	<number>				FALSE	GlyphRefElementDYAttribute	Specifies a y-shift for this \emph{glyph} using the font's coordinate system for this glyph.
edgeMode	LITERAL	1	\emph{'duplicate'}				FALSE	feConvolveMatrixElementEdgeModeAttribute	Specifies to extended the input image along the borders by duplication color values.
edgeMode	LITERAL	1	\emph{'wrap'}				FALSE	feConvolveMatrixElementEdgeModeAttribute	Specifies to extended the input image along the borders by using a wrap around of the color values.
edgeMode	LITERAL	1	\emph{'none'}				FALSE	feConvolveMatrixElementEdgeModeAttribute	Specifies to extended the input image along the borders by using a zero color value.
elevation	ANGLE	1	<angle>				FALSE	feDistantLightElevationAttribute	Specifies the elevation angle (in degrees). The elevation angle is defined as the between the z-axis and the vector from the origin to the light source.
end	??	1	<offset-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, based upon an offset (+ or - ) from the implicit \emph{synbase} (without units the default is seconds)
end	??	1	<syncbase-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, based upon an offset (+ or - ) from the explicit \emph{synbase} given by the begin or end of the element referenced by id-value.
end	??	1	<event-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, based upon an offset (+ or - ) relative to when the event referenced occurs.
end	??	1	<repeat-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, based upon an offset (+ or - ) relative to a repeating event.
end	??	1	<accessKey-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, based upon an offset (+ or - ) relative to an access key event of the specified character.
end	??	1	<wallclock-sync-value>		V-C L-C		FALSE	EndAttribute	Specifies when to end the animation, base on wall clock time.
end	LITERAL	1	\emph{'indefinite'}		V-C	const	FALSE	EndAttribute	Specifies when to end the animation, using a \emph{endElement()} method call or a hyperlink targeted to the element to trigger the end.
exponent	NUMERIC	1	<numeric>			equation	FALSE	feComponentTransferExponentAttribute	Specifies the exponent to be used to construct the transfer function when the type is \eqn{\gamma}.
externalResourcesRequired	LITERAL	1	\emph{'false'}	T			FALSE	ExternalResourcesRequiredAttribute	Specifies that resources external to the current document are considered optional, (Default)
externalResourcesRequired	LITERAL	1	\emph{'true'}				FALSE	ExternalResourcesRequiredAttribute	Specifies that resources external to the current document are NOT considered optional. Thus if any external resource is not available, rendering is suspended and an error document error state occurs.
in2	LITERAL	1	\emph{'SourceGraphic'}				FALSE	feBlendIn2Attribute	Specifies that for the second input, \emph{in2}, to take the original graphic source.
in2	LITERAL	1	\emph{'SourceAlpha'}				FALSE	feBlendIn2Attribute	Specifies that for the second input, \emph{in2}, to take the \emph{alpha channel} of original graphic source.
in2	LITERAL	1	\emph{'BackgroundImage'}				FALSE	feBlendIn2Attribute	Specifies that for the second input, \emph{in2}, to take the image snapshot of the filter region at the time filter was invoked.
in2	LITERAL	1	\emph{'BackgroundAlpha'}				FALSE	feBlendIn2Attribute	Specifies that for the second input, \emph{in2} to take the \emph{alpha channel} of the filter region image.
in2	LITERAL	1	\emph{'FillPaint'}				FALSE	feBlendIn2Attribute	Specifies to take the fill property on the target element as input for \emph{in2}.
in2	LITERAL	1	\emph{'StrokePaint'}				FALSE	feBlendIn2Attribute	Specifies to take the \emph{stroke} property on the target element as input for \emph{in2}.
in2	CHARACTER	1	<filter-primitive-reference>				FALSE	feBlendIn2Attribute	Specifies for input \emph{in2} to take the results of the referenced filter primitive. Moreover, if a filter primitive has assigned results='foo', then tp use the results of that filter as the second input, simply set \emph{in2}='foo'.
in2	ELEMENT	1	<filterPrimitveElement>				FALSE	feBlendIn2Attribute	Specifies for input \emph{in2} to take the results of the given \emph{filterPrimitveElement}. In this case, it is not necessary assign a value to results for the given \emph{filterPrimitive}.
fill	LITERAL	1	\emph{'freeze'}		1-C		FALSE	FillAttribute	Specifies upon completing the animation to freeze in place, there by keeping the last value for that animation frozen.
fill	LITERAL	1	\emph{'remove'}		1-C		FALSE	FillAttribute	Specifies upon completing the animation to return to the initial state, that being what value the attribute had prior to the start of the animation.
filterRes	NON-NEG-NUM	1,2	<numeric>[1or2]				FALSE	FilterElementFilterResAttribute	Specifies an intermediate \emph{width} and \emph{height} in pixels. If not specified, the user agent will try to insure high quality with a good guess.
filterUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	FilterElementFilterUnitsAttribute	Specifies to interpret \emph{x, y, width, height ( or xy, wh)} as current user coordinates.
filterUnits	LITERAL	1	\emph{'objectBoundingBox'}				FALSE	FilterElementFilterUnitsAttribute	Specifies to interpret \emph{x, y, width, height ( or xy, wh)} as fractions (or percentages)
font-family	CHARACTER	1	<character>[N]		1-V		FALSE	FontFaceElementFontFamilyAttribute	Specifies, as a character vector, one or more font family names.
font-size	LITERAL	1	\emph{'all'}		1-V		FALSE	FontFaceElementFontSizeAttribute	Specifies all size (suitable for scalable fonts)
font-size	LENGTH	1	<length>		1-V		FALSE	FontFaceElementFontSizeAttribute	Specifies the font size (suitable for bitmap fonts)
font-stretch	LITERAL	1	\emph{'all'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies to apply all font factors.
font-stretch	LITERAL	1	\emph{'normal'}	T	1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies no stretching and no condensing of the \emph{glyphs}.
font-stretch	LITERAL	1	\emph{'ultra-condensed'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies maximum condensing (ultra) of the \emph{glyphs}.
font-stretch	LITERAL	1	\emph{'extra-condensed'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more condensed than \emph{condensed}.
font-stretch	LITERAL	1	\emph{'condensed'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more condensed than \emph{semi-condensed}.
font-stretch	LITERAL	1	\emph{'semi-condensed'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more condensed than \emph{normal}.
font-stretch	LITERAL	1	\emph{'semi-expanded'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more expanded than \emph{normal}.
font-stretch	LITERAL	1	\emph{'expanded'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more expanded than the \emph{semi-expanded}  amount of stretching.
font-stretch	LITERAL	1	\emph{'extra-expanded'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies a slightly more expanded than \emph{expanded}  amount of stretching.
font-stretch	LITERAL	1	\emph{'ultra-expanded'}		1-V		FALSE	FontFaceElementFontStretchAttribute	Specifies the maximum amount of stretching.
font-style	LITERAL	1	\emph{'all'}		1-V		FALSE	FontFaceElementFontStyleAttribute	Specifies all three font styles.
font-style	LITERAL	1	\emph{'normal'}		1-V		FALSE	FontFaceElementFontStyleAttribute	Specifies a \emph{normal} font style.
font-style	LITERAL	1	\emph{'italic'}		1-V		FALSE	FontFaceElementFontStyleAttribute	Specifies an \emph{italic} font style
font-style	LITERAL	1	\emph{'oblique'}		1-V		FALSE	FontFaceElementFontStyleAttribute	Specifies an \emph{oblique} font style.
font-variant	LITERAL	1	\emph{'normal'}		1-V		FALSE	FontFaceElementFontVariantAttribute	Specifies the \emph{normal} font variant.
font-variant	LITERAL	1	\emph{'small-caps'}		1-V		FALSE	FontFaceElementFontVariantAttribute	Specifies \emph{small-caps} variant of the font.
font-weight	LITERAL	1	\emph{'all'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies to match all possible weights.
font-weight	LITERAL	1	\emph{'normal'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a \emph{normal} weight (i.e. 400)
font-weight	LITERAL	1	\emph{'bold'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a \emph{bold} weight (i.e. 700)
font-weight	LITERAL	1	\emph{'100'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 100 font weight (lightest)
font-weight	LITERAL	1	\emph{'200'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 200 font weight.
font-weight	LITERAL	1	\emph{'300'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 300 font weight.
font-weight	LITERAL	1	\emph{'400'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 400 font weight. (Normal.)
font-weight	LITERAL	1	\emph{'500'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 500 font weight.
font-weight	LITERAL	1	\emph{'600'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 600 font weight
font-weight	LITERAL	1	\emph{'700'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 700 font weight
font-weight	LITERAL	1	\emph{'800'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 800 font weight
font-weight	LITERAL	1	\emph{'900'}		1-V		FALSE	FontFaceElementFontWeightAttribute	Specifies a 900 font weight. (Boldest)
format	CHARACTER	1	<glyph-format>				FALSE	AltGlyphElementFormatAttribute	Specifies a \emph{alt-Glyph} format.
format	CHARACTER	1	<glyph-format>				FALSE	GlyphRefElementFormatAttribute	Specifies a \emph{Glyph} format.
from	VALUE	1	<attribute-value>		1		FALSE	FromAttribute	Specifies the initial value of the attribute chosen for animation.
fx	COORDINATE	1	<coordinate>	50.00%			FALSE	RadialGradientElementFXAttribute	Specifies the x-coordinate of the focal point of the radial gradient. (The focal point being the location of the initial gradient stop.) Default is 0.50  .
fy	COORDINATE	1	<coordinate>	50.00%			FALSE	RadialGradientElementFYAttribute	Specifies the y-coordinate of the focal point of the radial gradient. (The focal point being the location of the initial gradient stop.) Default is 0.50 .
g1	CHARACTER	M	<glyph-names>[N]				FALSE	HKernElementG1Attribute	Specifies a set of candiate 1st \emph{glyphs} in the kerning pair using a vector of glyph names.
g2	CHARACTER	M	<glyph-names>[N]				FALSE	HKernElementG2Attribute	Specifies a set of candiate 2nd \emph{glyphs} in the kerning pair using a vector of glyph names.
glyph-name	CHARACTER	M	<glyph-names>[N]				FALSE	GlyphElementGlyphNameAttribute	Specifies a vector of one or more glyph names
glyphRef	IRI	1	<string>				FALSE	AltGlyphElementGlyphRefAttribute	Specifies a \emph{glyph} identifier. The format of the font will determine the \emph{glyph} identifier format.
glyphRef	IRI	1	<string>				FALSE	GlyphRefElementGlyphRefAttribute	Specifies a \emph{glyph} identifier.
gradientTransform	TRANSFORMLIST	1	<transform-list>	Identity			FALSE	LinearGradientElementGradientTransformAttribute	Specifies sequence transforms of the gradient. Exotic effects, such as skewing can be made using these additional transforms. The default is the identity.
gradientTransform	TRANSFORMLIST	1	<transform-list>	Identity			FALSE	RadialGradientElementGradientTransformAttribute	Specifies sequence transforms of the gradient. Exotic effects, such as skewing can be made using these additional transforms. The default is the identity.
gradientUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	LinearGradientElementGradientUnitsAttribute	Specifies that the gradient values for \emph{'x1'}, \emph{'y1'}, \emph{'x2'} and \emph{'y2'} are given in terms of the user coordinate system in effect at the time when the gradient element is referenced.
gradientUnits	LITERAL	1	\emph{'objectBoundingBox'}	T			FALSE	LinearGradientElementGradientUnitsAttribute	Specifies that the gradient values for \emph{'x1'}, \emph{'y1'}, \emph{'x2'} and \emph{'y2'} are given in terms fractions (or percentages) of the bounding box of the target element to which the gradient is applied. In this case c(0, 0) is the coordinates of the upper left-hand corner of the bounding, and c(1, 0) is the coordinates of the lower right-hand corner of the bounding box.
gradientUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	RadialGradientElementGradientUnitsAttribute	Specifies that \emph{'cx'}, \emph{'cy'}, \emph{'r'}, \emph{'fx'} and \emph{'fy'} represent values in the user coordinate system in effect when the radial gradient element is referenced.
gradientUnits	LITERAL	1	\emph{'objectBoundingBox'}	T			FALSE	RadialGradientElementGradientUnitsAttribute	Specifies that the user coordinate system for attributes \emph{'cx'}, \emph{'cy'}, \emph{'r'}, \emph{'fx'} and \emph{'fy'} are given in terms of fractions (or percentages) of the bounding box of the target element to which the gradient is applied. In this case c(0, 0) is the coordinates of the upper left-hand corner of the bounding, and c(1, 0) is the coordinates of the lower right-hand corner of the bounding box. Default.
hanging	NUMERIC	1	<numeric>		1		FALSE	FontFaceElementHangingAttribute	Specifies the vaule of the alignment amount to use to to produce an ideographic baseline alignment. This amount is given in the same units as in the font coordinate system. This alignment is applicable for horizontally orientated \emph{glyphs}.
height	LENGTH	1	<length>	120.00%			FALSE	FilterElementHeightAttribute	Specifies the \emph{bounding box height} of the filter in terms of the filterUnits. (The default is 1.20).
height	LENGTH	1	<length>				FALSE	FilterPrimitiveHeightAttribute	Specifies the \emph{height} of \emph{filter primitive subregion}. The filter primitive subregion is a rectangular region over which both filter primitive calculations and rendering occurs.
height	LENGTH	1	<length>				FALSE	SVGElementHeightAttribute	Specifies the \emph{height} of an \emph{svg}. This can be  applied to both for an embedded \strong{svg} and an outer-most \strong{svg} (i.e. svgR).
height	LENGTH	1	<length>				FALSE	UseElementHeightAttribute	Specifies the \emph{height} of the rectangular region into which the referenced element by use is to be placed.
height	LENGTH	1	<length>				FALSE	ImageElementHeightAttribute	Specifies the \emph{height} of the rectangular region into which the image element is to be placed.
height	LENGTH	1	<length>				FALSE	RectElementHeightAttribute	Specifies the \emph{height} of the rectangle (the distance between the top and bottom.)
height	LENGTH	1	<length>[1 or 2]	1.2			TRUE	MaskElementHeightAttribute	Specifies the \emph{height} of the rectangle defining the offscreen buffer used in computing the masked image. The resulting masked image is the intersection of the mask and that buffer. The default is y=.1, height=1.2, maskUnits=\emph{'objectBoundingBox'}. Note: \eqn{height geq 0}.s if a value of \emph{'120'} were specified.Animatable. yes.
height	LENGTH	1	<length>				TRUE	ForeignObjectElementHeightAttribute	Specifies the \emph{height} of the rectangular region into which into which the \emph{'foreignObject'} will be rendered. Requires \eqn{height \\geq 0}.
height	LENGTH	1	<length>				FALSE	PatternElementHeightAttribute	Specifies a tile \emph{height.} (Must be non-negative).
horiz-adv-x	NON-NEG-INTEGER	1	<number>				FALSE	FontElementHorizAdvXAttribute	Specifies what the default horizontal advance should be after rendering in a horizontal orientation. Needs to be non-negative.
horiz-adv-x	NON-NEG-INTEGER	1	<number>				FALSE	GlyphElementHorizAdvXAttribute	Specifies what the default horizontal advance should be after rendering in a horizontal orientation. Needs to be non-negative.
horiz-origin-x	COORDINATE	1	<coordinate>				FALSE	FontElementHorizOriginXAttribute	Specifies the x-coordinate of the glyph origin relative to the font coordinate system in horizontal text mode. Default=0.
horiz-origin-y	COORDINATE	1	<coordinate>				FALSE	FontElementHorizOriginYAttribute	Specifies the y-coordinate of the glyph origin relative to the font coordinate system in horizontal text mode. Default=0.
id	CHARACTER	1	<name>				FALSE	IDAttribute	Specifies name to assign to an element. Should be unique.
ideographic	NUMERIC	1	<number>		1		FALSE	FontFaceElementIdeographicAttribute	Specifies, in font coordinates, for horizontally orientated \emph{glyphs}, the alignment to produce an ideographic baseline alignment.
in1	LITERAL	1	\emph{'SourceGraphic'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the original graphic source.
in1	LITERAL	1	\emph{'SourceAlpha'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, taking the alpha channel of the original graphic source.
in1	LITERAL	1	\emph{'BackgroundImage'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the image snapshot of the filter region in effect at the time filter was invoked.
in1	LITERAL	1	\emph{'BackgroundAlpha'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the \emph{alpha channel} of the filter region image.
in1	LITERAL	1	\emph{'FillPaint'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the \emph{fill} property on the target element.
in1	LITERAL	1	\emph{'StrokePaint'}				FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the \emph{stroke} property on the target element.
in1	CHARACTER	1	<filter-primitive-reference>			in1	FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the results of the referenced filter primitive.
in1	ELEMENT	1	<filterPrimitveElement>			in1	FALSE	FilterPrimitiveInAttribute	Specifies taking as the first graphics input argument, \emph{in1}, the results of the given \strong{filterPrimitveElement}.
in2	LITERAL	1	\emph{'SourceGraphic'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the original graphic source to calculate displacement values.
