loc	attr	value	value.def
MinAttribute	min	"media"	Specifies the minimum value of the active duration as the intrinsic media duration. This is only valid for elements that define media. (For SVG's animation elements, if 'media' is specified, the attribute will be ignored.)
MaxAttribute	max	Clock.value	Specifies the length of the maximum value of the active duration, measured in local time. Value must be greater than 0.
MaxAttribute	max	"media"	Specifies the maximum value of the active duration as the intrinsic media duration. This is only valid for elements that define media. (For SVG's animation elements, if 'media' is specified, the attribute will be ignored.)
RestartAttribute	restart	always	The animation can be restarted at any time (The default)
RestartAttribute	restart	whenNotActive	The animation can be restarted only when not active (i.e. the active end)
RestartAttribute	restart	never	The element cannot be restarted for the duration of the parent container.
RepeatCountAttribute	repeatCount	numeric value	This is a (base 10) "floating point" numeric value that specifies the number of iterations. It can include partial iterations expressed as fraction values. A fractional value describes a portion of the simple duration. Values must be greater than 0.
RepeatCountAttribute	repeatCount	"indefinite"	The animation is defined to repeat indefinitely (i.e. until the document ends).
RepeatDurAttribute	repeatDur	Clock.value	Specifies the duration in presentation time to repeat the animation function f(t).
RepeatDurAttribute	repeatDur	"indefinite"	The animation is defined to repeat indefinitely (i.e. until the document ends).
FillAttribute	fill	freeze	The animation effect F(t) is defined to freeze the effect value at the last value of the active duration. The animation effect is "frozen" for the remainder of the document duration (or until the animation is restarted . see SMIL Animation. Restarting animation).
FillAttribute	fill	remove	The animation effect is removed (no longer applied) when the active duration of the animation is over. After the active end of the animation, the animation no longer affects the target (unless the animation is restarted . see SMIL Animation. Restarting animation). This is the default value.
CalcModeAttribute	calcMode	discrete	This specifies that the animation function will jump from one value to the next without any interpolation.
CalcModeAttribute	calcMode	linear	Simple linear interpolation between values is used to calculate the animation function. Except for 'animateMotion', this is the default 'calcMode'.
CalcModeAttribute	calcMode	paced	 Defines interpolation to produce an even pace of change across the animation. This is only supported for the data types for which there is an appropriate distance function defined, which includes only scalar numeric types plus the types listed in Paced animation and complex types. If 'paced' is specified, any 'keyTimes' or 'keySplines' will be ignored. For 'animateMotion', this is the default 'calcMode'. Authors are discouraged from using paced animation on types that do not have a distance function defined, due to its unpredictable behavior in some user agents.
CalcModeAttribute	calcMode	spline	Interpolates from one value in the 'values' list to the next according to a time function defined by a cubic Bzier spline. The points of the spline are defined in the 'keyTimes' attribute, and the control points for each interval are defined in the 'keySplines' attribute.
ValuesAttribute	values	"<list>"	A semicolon.separated list of one or more values. Vector.valued attributes are supported using the vector syntax of the 'attributeType' domain. Per the SMIL specification, leading and trailing white space, and white space before and after semicolon separators, is allowed and will be ignored. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'values' attribute ([SMILANIM], section 3.2.2).
KeyTimesAttribute	keyTimes	"<list>"	 A semicolon.separated list of time values used to control the pacing of the animation. Each time in the list corresponds to a value in the 'values' attribute list, and defines when the value is used in the animation function. Each time value in the 'keyTimes' list is specified as a floating point value between 0 and 1 (inclusive), representing a proportional offset into the simple duration of the animation element. For animations specified with a 'values' list, the 'keyTimes' attribute if specified must have exactly as many values as there are in the 'values' attribute. For from/to/by animations, the 'keyTimes' attribute if specified must have two values. Each successive time value must be greater than or equal to the preceding time value. The 'keyTimes' list semantics depends upon the interpolation mode. For linear and spline animation, the first time value in the list must be 0, and the last time value in the list must be 1. The key time associated with each value defines when the value is set; values are interpolated between the key times.For discrete animation, the first time value in the list must be 0. The time associated with each value defines when the value is set; the animation function uses that value until the next time defined in 'keyTimes'.If the interpolation mode is 'paced', the 'keyTimes' attribute is ignored. If there are any errors in the 'keyTimes' specification (bad values, too many or too few values), the document fragment is in error (see error processing). If the simple duration is indefinite, any 'keyTimes' specification will be ignored. Because paced animation interpolation is unspecified for some value types, authors are encouraged to use 'linear' animation interpolation with calculated 'keyTimes' to achieve particular interpolation behavior for these types. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'keyTimes' attribute ([SMILANIM], section 3.2.3). 
KeySplinesAttribute	keySplines	"<list>"	A set of Bzier control points associated with the 'keyTimes' list, defining a cubic Bzier function that controls interval pacing. The attribute value is a semicolon.separated list of control point descriptions. Each control point description is a set of four values. x1 y1 x2 y2, describing the Bzier control points for one time segment. Note. SMIL allows these values to be separated either by commas with optional whitespace, or by whitespace alone. The 'keyTimes' values that define the associated segment are the Bzier "anchor points", and the 'keySplines' values are the control points. Thus, there must be one fewer sets of control points than there are 'keyTimes'. The values must all be in the range 0 to 1. This attribute is ignored unless the 'calcMode' is set to 'spline'. If there are any errors in the 'keySplines' specification (bad values, too many or too few values), the document fragment is in error (see error processing). Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'keySplines' attribute ([SMILANIM], section 3.2.3).
FromAttribute	from	"<value>"	Specifies the starting value of the animation. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'from' attribute ([SMILANIM], section 3.2.2).
ToAttribute	to	"<value>"	Specifies the ending value of the animation. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'to' attribute ([SMILANIM], section 3.2.2).
ByAttribute	by	"<value>"	Specifies a relative offset value for the animation. Except for any SVG.specific rules explicitly mentioned in this specification, the normative definition for this attribute is the SMIL Animation specification. In particular, see SMIL Animation. 'by' attribute ([SMILANIM], section 3.2.2).
AdditiveAttribute	additive	sum	Specifies that the animation will add to the underlying value of the attribute and other lower priority animations.
AdditiveAttribute	additive	replace	Specifies that the animation will override the underlying value of the attribute and other lower priority animations. This is the default, however the behavior is also affected by the animation value attributes 'by' and 'to', as described in SMIL Animation. How from, to and by attributes affect additive behavior.
AccumulateAttribute	accumulate	sum	Specifies that each repeat iteration after the first builds upon the last value of the previous iteration.
AccumulateAttribute	accumulate	none	Specifies that repeat iterations are not cumulative. This is the default.
SetElementToAttribute	to	<value>	Specifies the value for the attribute during the duration of the 'set' element. The argument value must match the attribute type.
AnimateMotionElementCalcModeAttribute	calcMode	"discrete | linear | paced | spline"	Specifies the interpolation mode for the animation. Refer to general description of the 'calcMode' attribute above. The only difference is that the default value for the 'calcMode' for 'animateMotion' is 'paced'. See SMIL Animation. 'calcMode' attribute for 'animateMotion'.
PathAttribute	path	<path.data>	The motion path, expressed in the same format and interpreted the same way as the 'd' attribute on the 'path' element. The effect of a motion path animation is to add a supplemental transformation matrix onto the CTM for the referenced object which causes a translation along the x. and y.axes of the current user coordinate system by the computed X and Y values computed over time.
KeyPointsAttribute	keyPoints	<list.of.numbers>	'keyPoints' takes a semicolon.separated list of floating point values between 0 and 1 and indicates how far along the motion path the object shall move at the moment in time specified by corresponding 'keyTimes' value. Distance calculations use the user agent's distance along the path algorithm. Each progress value in the list corresponds to a value in the 'keyTimes' attribute list. If a list of 'keyPoints' is specified, there must be exactly as many values in the 'keyPoints' list as in the 'keyTimes' list. If there are any errors in the 'keyPoints' specification (bad values, too many or too few values), then the document is in error (see Error processing).
RotateAttribute	rotate	auto	Indicates that the object is rotated over time by the angle of the direction (i.e., directional tangent vector) of the motion path.
RotateAttribute	rotate	auto.reverse	Indicates that the object is rotated over time by the angle of the direction (i.e., directional tangent vector) of the motion path plus 180 degrees.
RotateAttribute	rotate	<number>	Indicates that the target element has a constant rotation transformation applied to it, where the rotation angle is the specified number of degrees.
OriginAttribute	origin	default	The 'origin' attribute is defined in the SMIL Animation specification ([SMILANIM], section 4.3). It has no effect in SVG.
MPathElementHrefAttribute	xlink:href	<iri>	An IRI reference to the 'path' element which defines the motion path.Animatable. no.
AnimateTransformElementTypeAttribute	type	translate | scale | rotate | skewX | skewY	Indicates the type of transformation which is to have its values change over time. If the attribute is not specified, then the effect is as if a value of 'translate' were specified. 
FontElementHorizOriginXAttribute	horiz-origin-x	<number>	The X.coordinate in the font coordinate system of the origin of a glyph to be used when drawing horizontally oriented text. (Note that the origin applies to all glyphs in the font.) If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. no.
FontElementHorizOriginYAttribute	horiz-origin-y	<number>	The Y.coordinate in the font coordinate system of the origin of a glyph to be used when drawing horizontally oriented text. (Note that the origin applies to all glyphs in the font.) If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. no.
FontElementHorizAdvXAttribute	horiz-adv-x	<number>	The default horizontal advance after rendering a glyph in horizontal orientation. Glyph widths are required to be non.negative, even if the glyph is typically rendered right.to.left, as in Hebrew and Arabic scripts.Animatable. no.
FontElementVertOriginXAttribute	vert-origin-x	<number>	The default X.coordinate in the font coordinate system of the origin of a glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to half of the effective value of attribute 'horiz.adv.x'.Animatable. no.
FontElementVertOriginYAttribute	vert-origin-y	<number>	The default Y.coordinate in the font coordinate system of the origin of a glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to the position specified by the font's 'ascent' attribute.Animatable. no.
FontElementVertAdvYAttribute	vert-adv-y	<number>	The default vertical advance after rendering a glyph in vertical orientation. If the attribute is not specified, the effect is as if a value equivalent of one em were specified (see 'units.per.em').Animatable. no.
GlyphElementUnicodeAttribute	unicode	<string>	One or more Unicode characters indicating the sequence of Unicode characters which corresponds to this glyph. If a character is provided, then this glyph corresponds to the given Unicode character. If multiple characters are provided, then this glyph corresponds to the given sequence of Unicode characters. One use of a sequence of characters is ligatures. For example, if unicode="ffl", then the given glyph will be used to render the sequence of characters "f", "f", and "l". It is often useful to refer to characters using XML character references expressed in hexadecimal notation or decimal notation. For example, unicode="ffl" could be expressed as XML character references in hexadecimal notation as unicode="&#x66;&#x66;&#x6c;" or in decimal notation as unicode="&#102;&#102;&#108;". The 'unicode' attribute contributes to the process for deciding which glyph(s) are used to represent which character(s). See glyph selection rules. If the 'unicode' attribute is not provided for a given 'glyph', then the only way to use this glyph is via an 'altGlyph' reference.Animatable. no.
GlyphElementGlyphNameAttribute	glyph-name	<name> [, <name> ]*	A name for the glyph. It is recommended that glyph names be unique within a font. The glyph names can be used in situations where Unicode character numbers do not provide sufficient information to access the correct glyph, such as when there are multiple glyphs per Unicode character. The glyph names can be referenced in kerning definitions.Animatable. no.
GlyphElementDAttribute	d	path data	The definition of the outline of a glyph, using the same syntax as for the 'd' attribute on a 'path' element. See Path data. See below for a discussion of this attribute.Animatable. no.
GlyphElementOrientationAttribute	orientation	h | v	Indicates that the given glyph is only to be used for a particular inline.progression.direction (i.e., horizontal or vertical). If the attribute is not specified, then the glyph can be used in all cases (i.e., both horizontal and vertical inline.progression.direction).Animatable. no.
GlyphElementArabicFormAttribute	arabic-form	initial | medial | terminal | isolated	For Arabic glyphs, indicates which of the four possible forms this glyph represents.Animatable. no.
GlyphElementLangAttribute	lang	LanguageCodes;	The attribute value is a comma.separated list of language names as defined in BCP 47 [BCP47]. The glyph can be used if the 'xml.lang' attribute exactly matches one of the languages given in the value of this parameter, or if the 'xml.lang' attribute exactly equals a prefix of one of the languages given in the value of this parameter such that the first tag character following the prefix is ".".Animatable. no.
GlyphElementHorizAdvXAttribute	horiz-adv-x	<number>	The horizontal advance after rendering the glyph in horizontal orientation. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'horiz.adv.x' attribute. Glyph widths are required to be non.negative, even if the glyph is typically rendered right.to.left, as in Hebrew and Arabic scripts.Animatable. no.
GlyphElementVertOriginXAttribute	vert-origin-x	<number>	The X.coordinate in the font coordinate system of the origin of the glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'vert.origin.x' attribute.Animatable. no.
GlyphElementVertOriginYAttribute	vert-origin-y	<number>	The Y.coordinate in the font coordinate system of the origin of a glyph to be used when drawing vertically oriented text. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'vert.origin.y' attribute.Animatable. no.
GlyphElementVertAdvYAttribute	vert-adv-y	<number>	The vertical advance after rendering a glyph in vertical orientation. If the attribute is not specified, the effect is as if the attribute were set to the value of the font's 'vert.adv.y' attribute.Animatable. no.
HKernElementU1Attribute	u1	[<character> | <urange> ] [, [<character> | <urange>] ]*	A sequence (comma.separated) of Unicode characters (refer to the description of the 'unicode' attribute to the 'glyph' element for a description of how to express individual Unicode characters) and/or ranges of Unicode characters (see description of ranges of Unicode characters in CSS2; [CSS2], section 15.3.3) which identify a set of possible first glyphs in the kerning pair. If a given Unicode character within the set has multiple corresponding 'glyph' elements (i.e., there are multiple 'glyph' elements with the same 'unicode' attribute value, but different 'glyph.name' values), then all such glyphs are included in the set. Comma is the separator character; thus, to kern a comma, specify the comma as part of a range of Unicode characters or as a glyph name using the 'g1' attribute. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes.Animatable. no.
HKernElementG1Attribute	g1	<name> [, <name> ]*	A sequence (comma.separated) of glyph names (i.e., values that match 'glyph.name' attributes on 'glyph' elements) which identify a set of possible first glyphs in the kerning pair. All glyphs with the given glyph name are included in the set. The total set of possible first glyphs in the kerning pair is the union of glyphs specified by the 'u1' and 'g1' attributes.Animatable. no.
HKernElementU2Attribute	u2	[<character> | <urange>] [, [<character> | <urange>] ]*	Same as the 'u1' attribute, except that 'u2' specifies possible second glyphs in the kerning pair.Animatable. no.
HKernElementG2Attribute	g2	<name> [, <name> ]*	Same as the 'g1' attribute, except that 'g2' specifies possible second glyphs in the kerning pair.Animatable. no.
HKernElementKAttribute	k	<number>	The amount to decrease the spacing between the two glyphs in the kerning pair. The value is in the font coordinate system. This attribute is required.Animatable. no.
FontFaceElementFontFamilyAttribute	font-family	<string>	Same syntax and semantics as the 'font.family' descriptor within an font.face rule.Animatable. no.
FontFaceElementFontStyleAttribute	font-style	all | [ normal | italic | oblique] [, [normal | italic | oblique]]*	Same syntax and semantics as the 'font.style' descriptor within an font.face rule. The style of a font. Takes on the same values as the 'font.style' property, except that a comma.separated list is permitted. If the attribute is not specified, the effect is as if a value of 'all' were specified.Animatable. no.
FontFaceElementFontVariantAttribute	font-variant	[normal | small.caps] [,[normal | small.caps]]*	Same syntax and semantics as the 'font.variant' descriptor within an font.face rule. Indication of whether this face is the small.caps variant of a font. Takes on the same values as the 'font.variant' property, except that a comma.separated list is permitted. If the attribute is not specified, the effect is as if a value of 'normal' were specified.Animatable. no.
FontFaceElementFontWeightAttribute	font-weight	all | [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900] [, [normal | bold | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900]]*	 Same syntax and semantics as the 'font.weight' descriptor within an font.face rule. The weight of a face relative to others in the same font family. Takes on the same values as the 'font.weight' property with three exceptions. relative keywords (bolder, lighter) are not permitteda comma.separated list of values is permitted, for fonts that contain multiple weightsan additional keyword, 'all', is permitted, which means that the font will match for all possible weights; either because it contains multiple weights, or because that face only has a single weight. If the attribute is not specified, the effect is as if a value of 'all' were specified.Animatable. no. 
FontFaceElementFontStretchAttribute	font-stretch	all | [ normal | ultra.condensed | extra.condensed | condensed | semi.condensed | semi.expanded | expanded | extra.expanded | ultra.expanded] [, [ normal | ultra.condensed | extra.condensed | condensed | semi.condensed | semi.expanded | expanded | extra.expanded | ultra.expanded] ]*	 Same syntax and semantics as the 'font.stretch' descriptor within an font.face rule. Indication of the condensed or expanded nature of the face relative to others in the same font family. Takes on the same values as the 'font.stretch' property except that. relative keywords (wider, narrower) are not permitteda comma.separated list is permittedthe keyword 'all' is permitted If the attribute is not specified, the effect is as if a value of 'normal' were specified.Animatable. no. 
FontFaceElementFontSizeAttribute	font-size	<string>	Same syntax and semantics as the 'font.size' descriptor within an font.face rule.Animatable. no.
FontFaceElementUnicodeRangeAttribute	unicode-range	<urange> [, <urange>]*	Same syntax and semantics as the 'unicode.range' descriptor within an font.face rule. The range of ISO 10646 characters [UNICODE] possibly covered by the glyphs in the font. Except for any additional information provided in this specification, the normative definition of the attribute is in CSS2 ([CSS2], section 15.3.3). If the attribute is not specified, the effect is as if a value of 'U+0.10FFFF' were specified.Animatable. no.
FontFaceElementUnitsPerEmAttribute	units-per-em	<number>	Same syntax and semantics as the 'units.per.em' descriptor within an font.face rule. The number of coordinate units on the em square, the size of the design grid on which glyphs are laid out. This value is almost always necessary as nearly every other attribute requires the definition of a design grid. If the attribute is not specified, the effect is as if a value of '1000' were specified.Animatable. no.
FontFaceElementPanose1Attribute	panose-1	[<integer>]{10}	Same syntax and semantics as the 'panose.1' descriptor within an font.face rule. The Panose.1 number, consisting of ten decimal integers, separated by whitespace. Except for any additional information provided in this specification, the normative definition of the attribute is in CSS2 ([CSS2], section 15.3.6). If the attribute is not specified, the effect is as if a value of '0 0 0 0 0 0 0 0 0 0' were specified.Animatable. no.
FontFaceElementStemvAttribute	stemv	<number>	Same syntax and semantics as the 'stemv' descriptor within an font.face rule.Animatable. no.
FontFaceElementStemhAttribute	stemh	<number>	Same syntax and semantics as the 'stemh' descriptor within an font.face rule.Animatable. no.
FontFaceElementSlopeAttribute	slope	<number>	Same syntax and semantics as the 'slope' descriptor within an font.face rule. The vertical stroke angle of the font. Except for any additional information provided in this specification, the normative definition of the attribute is in CSS2 ([CSS2], section 15.3.6). If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. no.
FontFaceElementCapHeightAttribute	cap-height	<number>	Same syntax and semantics as the 'cap.height' descriptor within an font.face rule. The height of uppercase glyphs in the font within the font coordinate system.Animatable. no.
FontFaceElementXHeightAttribute	x-height	<number>	Same syntax and semantics as the 'x.height' descriptor within an font.face rule. The height of lowercase glyphs in the font within the font coordinate system.Animatable. no.
FontFaceElementAccentHeightAttribute	accent-height	<number>	The distance from the origin to the top of accent characters, measured by a distance within the font coordinate system. If the attribute is not specified, the effect is as if the attribute were set to the value of the 'ascent' attribute.Animatable. no.
FontFaceElementAscentAttribute	ascent	<number>	Same syntax and semantics as the 'ascent' descriptor within an font.face rule. The maximum unaccented height of the font within the font coordinate system. If the attribute is not specified, the effect is as if the attribute were set to the difference between the 'units.per.em' value and the 'vert.origin.y' value for the corresponding font.Animatable. no.
FontFaceElementDescentAttribute	descent	<number>	Same syntax and semantics as the 'descent' descriptor within an font.face rule. The maximum unaccented depth of the font within the font coordinate system. If the attribute is not specified, the effect is as if the attribute were set to the 'vert.origin.y' value for the corresponding font.Animatable. no.
FontFaceElementWidthsAttribute	widths	<string>	Same syntax and semantics as the 'widths' descriptor within an font.face rule.Animatable. no.
FontFaceElementBboxAttribute	bbox	<string>	Same syntax and semantics as the 'bbox' descriptor within an font.face rule.Animatable. no.
FontFaceElementIdeographicAttribute	ideographic	<number>	For horizontally oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve ideographic baseline alignment. The value is an offset in the font coordinate system.Animatable. no.
FontFaceElementAlphabeticAttribute	alphabetic	<number>	Same syntax and semantics as the 'baseline' descriptor within an font.face rule. For horizontally oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve alphabetic baseline alignment. The value is an offset in the font coordinate system.Animatable. no.
FontFaceElementMathematicalAttribute	mathematical	<number>	Same syntax and semantics as the 'mathline' descriptor within an font.face rule. For horizontally oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve mathematical baseline alignment. The value is an offset in the font coordinate system.Animatable. no.
FontFaceElementHangingAttribute	hanging	<number>	For horizontally oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve hanging baseline alignment. The value is an offset in the font coordinate system.Animatable. no.
FontFaceElementVertIdeographicAttribute	v-ideographic	<number>	For vertically oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve ideographic baseline alignment. The value is an offset in the font coordinate system relative to the glyph.specific 'vert.origin.x' attribute.Animatable. no.
FontFaceElementVertAlphabeticAttribute	v-alphabetic	<number>	For vertically oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve alphabetic baseline alignment. The value is an offset in the font coordinate system relative to the glyph.specific 'vert.origin.x' attribute.Animatable. no.
FontFaceElementVertMathematicalAttribute	v-mathematical	<number>	For vertically oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve mathematical baseline alignment. The value is an offset in the font coordinate system relative to the glyph.specific 'vert.origin.x' attribute.Animatable. no.
FontFaceElementVertHangingAttribute	v-hanging	<number>	For vertically oriented glyph layouts, indicates the alignment coordinate for glyphs to achieve hanging baseline alignment. The value is an offset in the font coordinate system relative to the glyph.specific 'vert.origin.x' attribute.Animatable. no.
FontFaceElementUnderlinePositionAttribute	underline-position	<number>	The ideal position of an underline within the font coordinate system.Animatable. no.
FontFaceElementUnderlineThicknessAttribute	underline-thickness	<number>	The ideal thickness of an underline, expressed as a length within the font coordinate system.Animatable. no.
FontFaceElementStrikeThroughPositionAttribute	strikethrough-position	<number>	The ideal position of a strike.through within the font coordinate system.Animatable. no.
FontFaceElementStrikeThroughThicknessAttribute	strikethrough-thickness	<number>	The ideal thickness of a strike.through, expressed as a length within the font coordinate system.Animatable. no.
FontFaceElementOverlinePositionAttribute	overline-position	<number>	The ideal position of an overline within the font coordinate system.Animatable. no.
FontFaceElementOverlineThicknessAttribute	overline-thickness	<number>	The ideal thickness of an overline, expressed as a length within the font coordinate system.Animatable. no.
FontFaceUriElementHrefAttribute	xlink:href	<IRI>	 The 'xlink.href' attribute specifies the location of the referenced font.Animatable. no. 
FontFaceFormatElementStringAttribute	string	<anything>	 The 'string' attribute is a hint to the user agent, and specifies a list of formats that the font referenced by the parent 'font.face.uri' element supports. The syntax of the attribute value is a format string as defined in CSS2, such as 'truetype'. Refer to the description of the 'src' descriptor in CSS2 for details on how the format hint is interpreted ([CSS2], section 15.3.5).Animatable. no. 
FontFaceNameElementNameAttribute	name	<anything>	 The 'name' attribute specifies the name of a local font. Unlike the syntax allowed between the parentheses of the local(...) clause in an font.face rule 'src' descriptor, the font name specified in this attribute is not surrounded in single or double quotes. Refer to the description of the 'src' descriptor in CSS2 for details on how the font name is interpreted ([CSS2], section 15.3.5).Animatable. no. 
FilterElementFilterUnitsAttribute	filterUnits	 "userSpaceOnUse | objectBoundingBox"	See Filter effects region.
FilterElementPrimitiveUnitsAttribute	primitiveUnits	 "userSpaceOnUse | objectBoundingBox"	Specifies the coordinate system for the various length values within the filter primitives and for the attributes that define the filter primitive subregion. If primitiveUnits="userSpaceOnUse", any length values within the filter definitions represent values in the current user coordinate system in place at the time when the 'filter' element is referenced (i.e., the user coordinate system for the element referencing the 'filter' element via a 'filter' property). If primitiveUnits="objectBoundingBox", then any length values within the filter definitions represent fractions or percentages of the bounding box on the referencing element (see Object bounding box units). Note that if only one number was specified in a <number.optional.number> value this number is expanded out before the 'primitiveUnits' computation takes place. If attribute 'primitiveUnits' is not specified, then the effect is as if a value of userSpaceOnUse were specified.Animatable. yes.
FilterElementXAttribute	x	 "<coordinate>"	See Filter effects region.
FilterElementYAttribute	y	 "<coordinate>"	See Filter effects region.
FilterElementWidthAttribute	width	 "<length>"	See Filter effects region.
FilterElementHeightAttribute	height	 "<length>"	See Filter effects region.
FilterElementFilterResAttribute	filterRes	 "<number.optional.number>"	See Filter effects region.
