Name	Values	Initial value	Applies to	Inh.	Percentages	Media	Anim.
font	[ [ font-style || font-variant || font-weight ]? font-size [ / 'line-height' ]? font-family ] | caption | icon | menu | message-box | small-caption | status-bar | inherit	see individual properties	text content elements	yes	see individual properties	visual	yes [1]
font-family	[[ <family-name> | <generic-family> ]]* [ <family-name> | <generic-family>] | inherit	depends on user agent	text content elements	yes	N/A	visual	yes
font-size	<absolute-size> | <relative-size> | <length> | <percentage> | inherit	medium	text content elements	yes the computed value is inherited	refer to parent element's font size	visual	yes
font-size-adjust	<number> | none | inherit	none	text content elements	yes	N/A	visual	yes [1]
font-stretch	normal | wider | narrower | ultra-condensed | extra-condensed | condensed | semi-condensed | semi-expanded | expanded | extra-expanded | ultra-expanded | inherit	normal	text content elements	yes	N/A	visual	yes
font-style	normal | italic | oblique | inherit	normal	text content elements	yes	N/A	visual	yes
font-variant	normal | small-caps | inherit	normal	text content elements	yes	N/A	visual	yes
font-weight	normal | bold | bolder | lighter | 100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900 | inherit	normal	text content elements	yes	N/A	visual	yes
glyph-orientation-horizontal	<angle> | inherit	0deg	text content elements	yes	N/A	visual	no
glyph-orientation-vertical	auto | <angle> | inherit	auto	text content elements	yes	N/A	visual	no
image-rendering	auto | optimizeSpeed | optimizeQuality | inherit	auto	images	yes	N/A	visual	yes
kerning	auto | <length> | inherit	auto	text content elements	yes	N/A	visual	yes
letter-spacing	normal | <length> | inherit	normal	text content elements	yes	N/A	visual	yes
lighting-color	currentColor |<color> [<icccolor>] | inherit	white	feDiffuseLighting and feSpecularLighting elements	no	N/A	visual	yes
marker	see individual properties	see individual properties	path line polyline and polygon elements	yes	N/A	visual	yes
marker-endmarker-midmarker-start	none | inherit |<funciri>	none	path line polyline and polygon elements	yes	N/A	visual	yes
mask	<funciri> | none | inherit	none	container elements and graphics elements	no	N/A	visual	yes
opacity	<opacity-value> | inherit	1	container elements and graphics elements	no	N/A	visual	yes
overflow	visible | hidden | scroll | auto | inherit	see prose	elements which establish a new viewport pattern elements and marker elements	no	N/A	visual	yes
pointer-events	visiblePainted | visibleFill | visibleStroke | visible | painted | fill | stroke | all | none | inherit	visiblePainted	graphics elements	yes	N/A	visual	yes
shape-rendering	auto | optimizeSpeed | crispEdges | geometricPrecision | inherit	auto	shapes	yes	N/A	visual	yes
stop-color	currentColor |<color> [<icccolor>] | inherit	black	stop elements	no	N/A	visual	yes
stop-opacity	<opacity-value> | inherit	1	stop elements	no	N/A	visual	yes
stroke	<paint> (See Specifying paint)	none	shapes and text content elements	yes	N/A	visual	yes
stroke-dasharray	none | <dasharray> | inherit	none	shapes and text content elements	yes	N/A	visual	yes [1]
stroke-dashoffset	<percentage> | <length> | inherit	0	shapes and text content elements	yes	see prose	visual	yes
stroke-linecap	butt | round | square | inherit	butt	shapes and text content elements	yes	N/A	visual	yes
stroke-linejoin1	miter | round | bevel | inherit	miter	shapes and text content elements	yes	N/A	visual	yes
stroke-miterlimit	<miterlimit> | inherit	4	shapes and text content elements	yes	N/A	visual	yes
stroke-opacity	<opacity-value> | inherit	1	shapes and text content elements	yes	N/A	visual	yes
stroke-width	<percentage> | <length> | inherit	1	shapes and text content elements	yes	N/A	visual	yes
text-anchor	start | middle | end | inherit	start	text content elements	yes	N/A	visual	yes
text-decoration	none | [ underline || overline || line-through || blink ] | inherit	none	text content elements	no (see prose)	N/A	visual	yes
text-rendering	auto | optimizeSpeed | optimizeLegibility | geometricPrecision | inherit	auto	text elements	yes	N/A	visual	yes
unicode-bidi	normal | embed | bidi-override | inherit	normal	text content elements	no	N/A	visual	no
visibility	visible | hidden | collapse | inherit	visible	graphics elements (including the text element) and text sub-elements (i.e. tspan tref altGlyph textPath and a)	yes	N/A	visual	yes
word-spacing	normal | <length> | inherit	normal	text content elements	yes	N/A	visual	yes
writing-mode	lr-tb | rl-tb | tb-rl | lr | rl | tb | inherit	lr-tb	text elements	yes	N/A	visual	no
