element	category	description
font-face-src	Font elements	The font-face-src element corresponds to the src property in CSS @font-face descriptions. It serves as container for <font-face-name>, pointing to locally installed copies of this font, and <font-face-uri>, utilizing remotely defined fonts.
font-face-uri	Font elements	The font-face-uri element points to a remote definition of the current font.
foreignObject	Unassigned	The foreignObject element allows for inclusion of a foreign XML namespace which has its graphical content drawn by a different user agent. The included foreign graphical content is subject to SVG transformations and compositing.
g	Container element, structural elements	
glyph	Text content elements	A glyph defines a single glyph in an SVG font.
glyphRef	Text content elements	The glyphRef element provides a single possible glyph to the referencing <altglyph> substitution.
hkern	Font elements	The horizontal distance between two glyphs can be fine-tweaked with an hkern Element. This process is known as Kerning.
image	Graphics element, Graphics referencing elements	The SVG Image Element (<image>) allows a raster image into be included in an SVG document.
line	Basic shape element, Graphics element, Shape elements	The line element is an SVG basic shape, used to create a line connecting two points.
linearGradient	Gradient elements	linearGradient lets authors define linear gradients to fill or stroke graphical elements.
marker	Container elements	The marker element defines the graphics that is to be used for drawing arrowheads or polymarkers on a given <path>, <line>, <polyline> or <polygon> element.
mask	Container elements	In SVG, you can specify that any other graphics object or <g> element can be used as an alpha mask for compositing the current object into the background. A mask is defined with the mask element. A mask is used/referenced using the mask property.
metadata	Descriptive elements	Metadata is structured data about data. Metadata which is included with SVG content should be specified within metadata elements. The contents of the metadata should be elements from other XML namespaces such as RDF, FOAF, etc.
missing-glyph	Unassigned	The missing-glyph's content is rendered, if for a given character the font doesn't define an appropriate <glyph>.
mpath	Animation elements	the mpath sub-element for the <animatemotion> element provides the ability to reference an external <path> element as the definition of a motion path.
path	Graphics element, Shape elements	Live result:
pattern	Container elements	A pattern is used to fill or stroke an object using a pre-defined graphic object which can be replicated ("tiled") at fixed intervals in x and y to cover the areas to be painted. Patterns are defined using the pattern element and then referenced by properties fill and stroke on a given graphics element to indicate that the given element shall be filled or stroked with the referenced pattern.
polygon	Basic shape element, Graphics element, Shape elements	The polygon element defines a closed shape consisting of a set of connected straight line segments.
polyline	Basic shape element, Graphics element, Shape elements	The polyline element is an SVG basic shape, used to create a series of straight lines connecting several points. Typically a polyline is used to create open shapes
radialGradient	Gradient elements	radialGradient lets authors define radial gradients to fill or stroke graphical elements.
rect	Basic shape element, Graphics element, Shape elements	The rect element is an SVG basic shape, used to create rectangles based on the position of a corner and their width and height. It may also be used to create rectangles with rounded corners.
script	Unassigned	Any functions defined within any script element have a global scope across the entire current document.
set	Animation elements	The set element provides a simple means of just setting the value of an attribute for a specified duration. It supports all attribute types, including those that cannot reasonably be interpolated, such as string and boolean values. The set element is non-additive. The additive and accumulate attributes are not allowed, and will be ignored if specified.
stop	Gradient elements	The ramp of colors to use on a gradient is defined by the stop elements that are child elements to either the <lineargradient> element or the <radialgradient> element.
style	Unassigned	The style element allows style sheets to be embedded directly within SVG content. SVG's style element has the same attributes as the corresponding element in HTML (see HTML's <style> element).
svg	Container element, Structural elements	Consider the following SVG image (representing the national flag of Italy):
switch	Container elements	The switch element evaluates the requiredFeatures, requiredExtensions and systemLanguage attributes on its direct child elements in order, and then processes and renders the first child for which these attributes evaluate to true. All others will be bypassed and therefore not rendered. If the child element is a container element such as a <g>, then the entire subtree is either processed/rendered or bypassed/not rendered.
symbol	Container element, Structural elements	
text	Graphics element, text content elements	The text element defines a graphics element consisting of text. Note that it is possible to apply a gradient, pattern, clipping path, mask or filter to text
textPath	Text content element, Text content child elements	In addition to text drawn in a straight line, SVG also includes the ability to place text along the shape of a <path> element. To specify that a block of text is to be rendered along the shape of a <path>, include the given text within a textPath element which includes an xlink:href attribute with a reference to a <path> element.
title	Descriptive elements	Each container element or graphics element in an SVG drawing can supply a title description string where the description is text-only. When the current SVG document fragment is rendered as SVG on visual media, title element is not rendered as part of the graphics. However, some user agents may, for example, display the title element as a tooltip. Alternate presentations are possible, both visual and aural, which display the title element but do not display path elements or other graphics elements. The title element generally improve accessibility of SVG documents
tref	Text content element, Text content child elements	The textual content for a <text> can be either character data directly embedded within the <text> element or the character data content of a referenced element, where the referencing is specified with a tref element.
tspan	Text content element, Text content child elements	Within a <text> element, text and font properties and the current text position can be adjusted with absolute or relative coordinate values by including a tspan element.
use	Graphics element, Graphics referencing element, Structural elements	The use element takes nodes from within the SVG document, and duplicates them somewhere else. The effect is the same as if the nodes were deeply cloned into a non-exposed DOM, and then pasted where the use element is, much like anonymous content and XBL. Since the cloned nodes are not exposed, care must be taken when using CSS to style a use element and its hidden descendants. CSS attributes are not guaranteed to be inherited by the hidden, cloned DOM unless you explicitly request it using CSS inheritance.
view	Unassigned	A view is a defined way to view the image, like a zoom level or a detail view.
vkern	Font elements	The vertical distance between two glyphs in top-to-bottom fonts can be fine-tweaked with an vkern Element. This process is known as Kerning.
